i_epoch,i_batch,loss,time
0,0,44.919323545146845,78.53316974639893
1,0,44.8170790239905,154.5014410018921
2,0,44.70940512417867,231.51823925971985
3,0,44.624344095932436,307.5118510723114
4,0,44.58729912566022,383.3726420402527
5,0,44.59087246383403,457.268296957016
6,0,44.58925473228467,531.2875034809113
7,0,44.58267018855578,606.2520732879639
8,0,44.57022741213259,678.2235205173492
9,0,44.55394928748997,751.8588402271271
10,0,44.539545673801015,826.2740864753723
11,0,44.528594658432574,901.6297330856323
12,0,44.52096150770314,975.5637357234955
13,0,44.5158575037188,1053.5058462619781
14,0,44.51215904931354,1128.3109302520752
15,0,44.50903066559404,1204.1564512252808
16,0,44.50622754009943,1280.2514462471008
17,0,44.50399803549173,1355.6232233047485
18,0,44.502386151813184,1428.8413977622986
19,0,44.50110348068068,1504.952478170395
20,0,44.49997634099549,1577.06662774086
21,0,44.49877371643807,1651.7445378303528
22,0,44.49727940683575,1730.0553150177002
23,0,44.495503879979445,1805.8655545711517
24,0,44.493714471625246,1879.4797067642212
25,0,44.49222533285667,1950.445375919342
26,0,44.49116424857336,2025.562063217163
27,0,44.49039144981899,2100.2673494815826
28,0,44.489603535114625,2176.290784597397
29,0,44.48868107111771,2251.4822998046875
30,0,44.487718612673675,2329.361439228058
31,0,44.48685639611888,2405.1566977500916
32,0,44.486114253339615,2481.0741143226624
33,0,44.485485093409984,2557.029132604599
34,0,44.4849748846251,2633.0410463809967
35,0,44.48455685353772,2707.079329967499
36,0,44.48423407616172,2782.4781305789948
37,0,44.48398927732891,2859.0354464054108
38,0,44.483791640561876,2935.966003894806
39,0,44.48360470292115,3011.2371175289154
40,0,44.483418652475905,3086.5292332172394
41,0,44.483220711217506,3161.2050750255585
42,0,44.482998973258255,3236.2494707107544
43,0,44.48276604012675,3311.047703266144
44,0,44.482539844871816,3386.3421289920807
45,0,44.48233836788334,3463.2259542942047
46,0,44.48217305086471,3540.9318556785583
47,0,44.48203851660407,
