i_epoch,i_batch,loss,time
0,0,101.12219150915882,97.69118356704712
1,0,101.10962290644193,191.9036226272583
2,0,101.09805321869733,288.5099802017212
3,0,101.08871086792855,386.4802577495575
4,0,101.08475980726762,481.15676736831665
5,0,101.08449138842916,576.5268337726593
6,0,101.08335648516463,672.2776093482971
7,0,101.08245279418458,763.4414184093475
8,0,101.08137511826479,858.1812653541565
9,0,101.07988978990483,950.2056226730347
10,0,101.07838203841017,1045.6078822612762
11,0,101.0769390605062,1139.3193171024323
12,0,101.07569493129728,1234.492070198059
13,0,101.07479470427528,1332.6915411949158
14,0,101.07424881129276,1429.0153999328613
15,0,101.073977663144,1520.8814616203308
16,0,101.07382827283674,1616.3464183807373
17,0,101.07366187284829,1708.5153024196625
18,0,101.07346461295037,1800.8032443523407
19,0,101.07325945165572,1899.3828754425049
20,0,101.07305095993561,1998.5640947818756
21,0,101.07282360557419,2093.358373641968
22,0,101.07259299377394,2193.6705594062805
23,0,101.07238896462286,2296.2000408172607
24,0,101.0722373287893,2392.600302696228
25,0,101.07212259707555,2488.880381822586
26,0,101.07202405639866,2583.76784491539
27,0,101.07193529347659,2679.512892961502
28,0,101.07185183795248,2776.49555850029
29,0,101.07176108976465,2875.1846005916595
30,0,101.07165794875937,2976.221938610077
31,0,101.07155511365856,3074.480687856674
32,0,101.07146001705985,3169.098550796509
33,0,101.07138100650845,3266.210743665695
34,0,101.07132620399322,3360.9361543655396
35,0,101.0712905133012,3459.022639274597
36,0,101.07126150340947,3554.2654139995575
37,0,101.07122657832419,3648.2839982509613
38,0,101.0711840399666,3742.7188296318054
39,0,101.07113900571125,3830.099092245102
40,0,101.07109865760462,3922.3652312755585
41,0,101.07106577062748,4017.398689031601
42,0,101.07103908404261,4107.12605214119
43,0,101.07101872210474,4202.8743278980255
44,0,101.07100227442447,4296.577586650848
45,0,101.07098670283713,4394.508278369904
46,0,101.0709705094774,4487.516233921051
47,0,101.07095367643527,4583.347370624542
48,0,101.07093594829045,4679.434804201126
49,0,101.07091889771692,4774.893133878708
50,0,101.07090514609258,4870.595568656921
51,0,101.07089531841972,4965.754059553146
52,0,101.0708887029028,5061.711256980896
53,0,101.0708843784729,5157.641693353653
54,0,101.07088049394636,5252.69157910347
55,0,101.07087628180743,5353.021178483963
56,0,101.07087045919005,5452.103633880615
57,0,101.07086288572484,5542.544618606567
58,0,101.0708548867348,5630.695890903473
59,0,101.07084804312481,5728.596420764923
60,0,101.07084304271923,5826.805193185806
61,0,101.07083968503305,5923.056459903717
62,0,101.07083694860818,6022.893628120422
63,0,101.07083428751508,6121.772885560989
64,0,101.07083145156099,6223.342823266983
65,0,101.07082866873262,6319.233130455017
66,0,101.070826107126,6418.299364089966
67,0,101.0708237489969,6513.841003417969
68,0,101.07082174412227,6613.444529771805
69,0,101.07081996036925,6711.244374752045
70,0,101.07081837299188,6807.842784881592
71,0,101.07081706507168,6905.474614143372
72,0,101.0708159927541,7004.473922491074
73,0,101.0708150753833,7103.163380622864
74,0,101.07081422797148,7197.933455467224
75,0,101.07081332712795,7294.39284491539
76,0,101.07081230322066,7390.22379899025
77,0,101.07081123026822,7492.178720474243
78,0,101.07081032698953,7590.456426143646
79,0,101.07080968927346,7685.156506538391
80,0,101.07080920314671,7778.674546480179
81,0,101.07080879988146,7879.836884975433
82,0,101.07080845474157,7977.829615116119
83,0,101.07080808255753,8074.493417263031
84,0,101.07080771215045,8170.834526062012
85,0,101.07080739729957,8263.718275547028
86,0,101.07080715628618,8361.469565868378
87,0,101.07080695562252,8454.503119707108
88,0,101.07080676154337,8555.67664361
89,0,101.07080656756679,8653.43459200859
90,0,101.07080637947574,8747.102162599564
91,0,101.07080620768257,8840.733991622925
92,0,101.07080604921299,8934.531863689423
93,0,101.07080591393277,9026.100977182388
94,0,101.07080580944033,9120.109691619873
95,0,101.07080573080152,9213.194363355637
96,0,101.0708056720122,9308.139163017273
97,0,101.07080562388802,9402.416529417038
98,0,101.07080558109455,9495.862875699997
99,0,101.07080553956557,9591.12595963478
100,0,101.0708054946278,9685.206853628159
101,0,101.0708054461892,9785.874925374985
102,0,101.0708053994751,9884.517383813858
103,0,101.07080535698357,9976.512207984924
104,0,101.07080532261618,10071.07769370079
105,0,101.07080529817586,10164.053411722183
106,0,101.0708052774443,10260.321144342422
107,0,101.07080525926871,10358.42642712593
108,0,101.0708052418479,10451.160476446152
109,0,101.07080522412544,10542.766263246536
110,0,101.07080520688784,10636.003065109253
111,0,101.07080519282098,10734.400347232819
112,0,101.07080518056138,10830.071113586426
113,0,101.07080516800073,10923.922575473785
114,0,101.07080515538978,11020.953043222427
115,0,101.07080514438012,11112.209480762482
116,0,101.07080513352258,11210.655480861664
117,0,101.07080512335722,11301.60202217102
118,0,101.07080511416612,11397.304904222488
119,0,101.07080510601158,11493.299183130264
120,0,101.07080509836605,11596.828422546387
121,0,101.07080509163876,11696.633439540863
122,0,101.07080508609059,11797.627128124237
123,0,101.07080508112759,11891.817096471786
124,0,101.07080507634699,11988.029957294464
125,0,101.07080507186548,12088.473880529404
126,0,101.0708050677556,12187.049705266953
127,0,101.07080506391678,12284.828617095947
128,0,101.07080506007269,12384.562112092972
129,0,101.07080505653444,12487.747148036957
130,0,101.07080505318406,12584.93064546585
131,0,101.07080505030844,12678.88909983635
132,0,101.07080504788078,12777.021953344345
133,0,101.07080504565408,12874.4222407341
134,0,101.07080504351667,12969.538844823837
135,0,101.07080504163132,13064.700149536133
136,0,101.07080504003243,13159.681209087372
137,0,101.07080503865394,13254.04276561737
138,0,101.07080503744055,13350.074971437454
139,0,101.07080503641872,13443.26299238205
140,0,101.07080503565585,13542.020519971848
141,0,101.07080503483995,13639.454389333725
142,0,101.07080503401598,13733.028845310211
143,0,101.07080503331005,13824.97280216217
144,0,101.07080503261172,13927.29679441452
145,0,101.07080503185138,14018.711420059204
146,0,101.07080503115932,14110.342809200287
147,0,101.07080503056531,14205.821718454361
148,0,101.07080503014926,14300.461512565613
149,0,101.07080502987694,14396.969212293625
150,0,101.07080502969463,14494.019308567047
151,0,101.07080502955303,14585.60044169426
152,0,101.07080502943973,14677.283688306808
153,0,101.07080502930748,14772.937817573547
154,0,101.07080502908735,14864.594769239426
155,0,101.07080502870146,14956.147418260574
156,0,101.07080502817811,15048.602224826813
157,0,101.07080502764937,15146.07633113861
158,0,101.07080502725451,15246.539395809174
159,0,101.07080502709566,15340.552822589874
160,0,101.0708050271331,15435.370633602142
161,0,101.0708050272018,15536.882297039032
162,0,101.07080502717827,15632.870374441147
163,0,101.07080502705564,15726.22707080841
164,0,101.07080502680078,15820.09407877922
165,0,101.07080502653751,15916.25137925148
166,0,101.07080502638888,16009.486027240753
167,0,101.0708050263419,16101.281650304794
168,0,101.07080502635927,16199.00516295433
169,0,101.0708050262664,16300.822038650513
170,0,101.07080502606411,16400.914663791656
171,0,101.07080502587566,16494.301137924194
172,0,101.07080502574497,16589.034613370895
173,0,101.07080502570102,16684.4122402668
174,0,101.07080502568236,16779.379133701324
175,0,101.07080502564361,16879.264827013016
176,0,101.07080502557811,16973.651445150375
177,0,101.07080502548533,17066.306235551834
178,0,101.07080502539446,17159.442035913467
179,0,101.07080502533081,17255.379057645798
180,0,101.0708050252778,17351.20460486412
181,0,101.07080502524155,17444.038927078247
182,0,101.07080502523594,17536.172610759735
183,0,101.07080502524832,17632.297518491745
184,0,101.07080502528817,17735.385804653168
185,0,101.07080502537838,17836.9584107399
186,0,101.07080502553605,17935.74674963951
187,0,101.07080502576386,18029.535068273544
188,0,101.07080502595545,18125.52148771286
189,0,101.07080502607143,18218.092848539352
190,0,101.07080502608316,18321.78076314926
191,0,101.07080502594239,18420.71310067177
192,0,101.07080502572391,18515.395050287247
193,0,101.07080502558877,18609.08491206169
194,0,101.07080502565613,18705.111444711685
195,0,101.07080502581597,18801.231937885284
196,0,101.07080502596973,18902.146141290665
197,0,101.07080502606405,19000.77375626564
198,0,101.07080502605312,19096.64376926422
199,0,101.0708050260255,19193.74926686287
