i_epoch,i_batch,loss,time
0,0,112.85459524312546,98.22471261024475
1,0,112.85390692302713,198.416241645813
2,0,112.85343214282949,298.5727205276489
3,0,112.85314381361462,396.9464497566223
4,0,112.8530142530919,495.22768545150757
5,0,112.85296494019781,591.9029200077057
6,0,112.85291687330229,699.7081987857819
7,0,112.8528680532026,803.4894251823425
8,0,112.85281565468999,912.7267909049988
9,0,112.85276304871641,1015.8657066822052
10,0,112.85271703592338,1110.076013803482
11,0,112.85268126437757,1203.3682219982147
12,0,112.85265347825148,1304.6765487194061
13,0,112.85263020451325,1407.2171638011932
14,0,112.85260870240319,1504.690150976181
15,0,112.85258670669735,1609.206481218338
16,0,112.85256350307066,1708.9955096244812
17,0,112.85254030625768,1811.7147524356842
18,0,112.85251949312334,1917.7466621398926
19,0,112.85250258891551,2027.285044670105
20,0,112.8524901006798,2134.5998573303223
21,0,112.85248091024182,2238.266199827194
22,0,112.85247332797981,2344.35186624527
23,0,112.8524662096266,2446.396947145462
24,0,112.85245908052707,2546.2288131713867
25,0,112.85245193465136,2649.4045741558075
26,0,112.8524452827329,2749.8961160182953
27,0,112.85243959965968,2853.7203590869904
28,0,112.85243483462287,2955.683443069458
29,0,112.85243060943759,3052.542531967163
30,0,112.85242668575538,3147.073191165924
31,0,112.85242305896007,3248.147782087326
32,0,112.85241976474008,3349.432889699936
33,0,112.8524167496848,3447.4779086112976
34,0,112.85241398933874,3544.3924248218536
35,0,112.85241142128125,3645.097917318344
36,0,112.85240899674761,3746.5646691322327
37,0,112.85240674714449,3844.968535423279
38,0,112.85240472203328,3939.7593398094177
39,0,112.85240297175514,4035.1876261234283
40,0,112.85240143838041,4133.105635643005
41,0,112.85240007323041,4231.4363424777985
42,0,112.85239888411967,4333.103337049484
43,0,112.85239783406445,4436.023327589035
44,0,112.8523968641031,4544.413900136948
45,0,112.85239598615041,4645.170167684555
46,0,112.85239524000787,4748.661691665649
47,0,112.85239462121223,4849.690399169922
48,0,112.85239409724535,4951.824995517731
49,0,112.85239364710762,5051.089419841766
50,0,112.85239324046887,5158.104435920715
51,0,112.85239284842187,5264.052459716797
52,0,112.85239246097696,5368.838887691498
53,0,112.8523920772523,5474.836255073547
54,0,112.85239171174716,5580.142517089844
55,0,112.85239139248003,5677.949582576752
56,0,112.85239113719554,5782.368076086044
57,0,112.85239093673377,5888.612116098404
58,0,112.85239077490202,5988.33963561058
59,0,112.85239063666396,6093.908185243607
60,0,112.85239050863322,6202.380437850952
61,0,112.85239037659137,6306.835695981979
62,0,112.85239023673684,6415.042393922806
63,0,112.85239009947269,6517.5610094070435
64,0,112.85238997915955,6614.750066280365
65,0,112.85238988045954,6714.343988895416
66,0,112.85238979888358,6817.717520713806
67,0,112.85238972832755,6925.785430669785
68,0,112.8523896613711,7032.120853424072
69,0,112.85238959597697,7136.169657468796
70,0,112.85238953675969,7242.3422927856445
71,0,112.85238948562764,7350.427986383438
72,0,112.85238943986978,7455.811942577362
73,0,112.85238939608618,7560.122349262238
74,0,112.85238935306009,7663.7353711128235
75,0,112.85238931184665,7765.859045743942
76,0,112.85238927488385,7874.478652477264
77,0,112.85238924377782,7981.840459346771
78,0,112.85238921830432,8084.632578372955
79,0,112.85238919753789,8190.717138528824
80,0,112.85238918044146,8299.371252059937
81,0,112.85238916640422,8403.855281352997
82,0,112.85238915434533,8510.3355550766
83,0,112.85238914284183,8613.924402475357
84,0,112.85238913178377,8717.271815776825
85,0,112.85238912139124,8818.259637355804
86,0,112.85238911185132,8913.484050273895
87,0,112.85238910364244,9009.762119531631
88,0,112.85238909672833,9106.669692993164
89,0,112.85238909055694,9202.582042694092
90,0,112.85238908469245,9303.879316806793
91,0,112.85238907895287,9408.394889354706
92,0,112.8523890734071,9515.124283075333
93,0,112.85238906820138,9610.243474721909
94,0,112.85238906328964,9710.327542304993
95,0,112.85238905862704,9806.379218816757
96,0,112.85238905455788,9908.85973405838
97,0,112.85238905125512,10008.061539888382
98,0,112.85238904846601,10106.054657936096
99,0,112.8523890458612,10208.39945101738
100,0,112.85238904332392,10311.331294298172
101,0,112.85238904094606,10415.686469554901
102,0,112.85238903885146,10523.075087308884
103,0,112.85238903708922,10628.326522827148
104,0,112.85238903560784,10732.392811775208
105,0,112.85238903433526,10833.66450548172
106,0,112.85238903319872,10938.261647939682
107,0,112.85238903211298,11039.836890935898
108,0,112.8523890310062,11146.032913684845
109,0,112.85238902986468,11254.281933546066
110,0,112.85238902876054,11360.24666929245
111,0,112.8523890278116,11467.576889514923
112,0,112.85238902707655,11573.190768003464
113,0,112.85238902651935,11681.771347045898
114,0,112.85238902606326,11787.010207891464
115,0,112.85238902564849,11890.817944526672
116,0,112.85238902524719,11987.205765008926
117,0,112.85238902486326,12092.171161413193
118,0,112.85238902449322,12197.639484882355
119,0,112.85238902414503,12297.302467107773
120,0,112.85238902383847,12396.064630508423
121,0,112.85238902357452,12500.452546596527
122,0,112.8523890233332,12605.911757946014
123,0,112.85238902310729,12713.96682024002
124,0,112.85238902289726,12820.798136234283
125,0,112.85238902269349,12929.422780036926
126,0,112.85238902249331,13034.793134689331
127,0,112.85238902229992,13135.177607774734
128,0,112.85238902211769,13240.843870639801
129,0,112.85238902195142,13347.767049789429
130,0,112.85238902180784,13453.02298283577
131,0,112.85238902168528,13555.918638944626
132,0,112.85238902157748,13662.714041471481
133,0,112.85238902147698,13762.354901075363
134,0,112.85238902138325,13860.362623214722
135,0,112.85238902129885,13959.953712463379
136,0,112.85238902122487,14054.446565389633
137,0,112.85238902115577,14149.338057279587
138,0,112.85238902108684,14248.418205976486
139,0,112.85238902101992,14340.603419542313
140,0,112.85238902095635,14431.195511817932
141,0,112.8523890208947,14530.32655787468
142,0,112.8523890208382,14628.661289930344
143,0,112.85238902078682,14724.977710008621
144,0,112.85238902074184,14823.22214269638
145,0,112.85238902070135,14915.035512685776
146,0,112.85238902066371,15007.262824296951
147,0,112.8523890206275,15100.135872125626
148,0,112.85238902059263,15194.346381187439
149,0,112.85238902055762,15291.418544769287
150,0,112.8523890205226,15392.544620990753
151,0,112.85238902048775,15484.277426958084
152,0,112.85238902045371,15579.217484235764
153,0,112.85238902042184,15673.997418880463
154,0,112.8523890203903,15769.588471412659
155,0,112.85238902035925,15867.946531534195
156,0,112.85238902032951,15965.176723241806
157,0,112.85238902030004,16058.6919195652
158,0,112.85238902027135,16153.5930621624
159,0,112.85238902024206,16245.48935008049
160,0,112.85238902021327,16343.011797904968
161,0,112.85238902018537,16435.392842292786
162,0,112.85238902015892,16533.253744125366
163,0,112.85238902013306,16626.910965442657
164,0,112.85238902010788,16723.285559415817
165,0,112.85238902008328,16819.837563753128
166,0,112.85238902005955,16919.322241067886
167,0,112.85238902003576,17013.051584005356
168,0,112.85238902001241,17110.34954047203
169,0,112.852389019989,17207.928249120712
170,0,112.8523890199661,17303.258358478546
171,0,112.85238901994441,17399.56372141838
172,0,112.85238901992332,17491.433563947678
173,0,112.85238901990223,17585.26117157936
174,0,112.85238901988085,17680.176561832428
175,0,112.85238901986015,17778.095188379288
176,0,112.85238901984006,17870.79803466797
177,0,112.85238901982007,17960.13273525238
178,0,112.85238901980061,18052.79743885994
179,0,112.8523890197816,18147.469065904617
180,0,112.85238901976301,18244.518445968628
181,0,112.85238901974424,18337.59512448311
182,0,112.85238901972644,18428.57984137535
183,0,112.85238901970838,18521.4777135849
184,0,112.85238901969068,18613.32624220848
185,0,112.85238901967368,18706.56919980049
186,0,112.85238901965681,18802.646568775177
187,0,112.85238901964028,18899.52638554573
188,0,112.85238901962371,18996.791232585907
189,0,112.8523890196079,19094.116463184357
190,0,112.85238901959215,19193.085703849792
191,0,112.85238901957642,19288.21274971962
192,0,112.85238901956197,19384.082462072372
193,0,112.85238901954688,19483.22080898285
194,0,112.85238901953286,19578.041368961334
195,0,112.85238901951874,19673.271809577942
196,0,112.85238901950515,19767.649929761887
197,0,112.85238901949154,19867.94889140129
198,0,112.85238901947855,19965.468548297882
199,0,112.8523890194658,20058.5168094635
