i_epoch,i_batch,loss,time
0,0,113.06102294462545,78.36808347702026
1,0,113.06076867201803,176.61650729179382
2,0,113.06051148825273,276.49170112609863
3,0,113.06030946703534,378.15651965141296
4,0,113.06017240048521,479.30380940437317
5,0,113.0600890522165,586.7515721321106
6,0,113.06004268426261,691.3425459861755
7,0,113.06001760692467,788.3894066810608
8,0,113.06000246360442,892.4414734840393
9,0,113.05999001033662,996.8393702507019
10,0,113.05997649185929,1100.6321864128113
11,0,113.059961289889,1204.7022852897644
12,0,113.05994503718262,1309.4751279354095
13,0,113.05992886061583,1412.595726966858
14,0,113.05991358138151,1513.5687091350555
15,0,113.05989952861653,1615.1650054454803
16,0,113.05988670556769,1719.724057674408
17,0,113.05987505150384,1819.4952747821808
18,0,113.05986448300352,1919.7332406044006
19,0,113.05985504228401,2023.6908600330353
20,0,113.05984692543817,2126.5030801296234
21,0,113.05984006618141,2225.081995487213
22,0,113.05983416194044,2323.234632253647
23,0,113.05982892235218,2423.243675470352
24,0,113.05982413842773,2518.753538131714
25,0,113.05981974793137,2621.7161808013916
26,0,113.05981570248933,2724.2737658023834
27,0,113.05981199829489,2832.3827941417694
28,0,113.05980863826755,2935.0473096370697
29,0,113.05980557283588,3034.9974257946014
30,0,113.05980275733071,3132.888421535492
31,0,113.05980014613601,3235.7920291423798
32,0,113.05979774363628,3339.2946388721466
33,0,113.05979559329357,3443.499013185501
34,0,113.0597937089288,3540.9872767925262
35,0,113.05979206802185,3643.6795797348022
36,0,113.0597906257668,3739.1556861400604
37,0,113.0597893411049,3836.0947000980377
38,0,113.05978819795652,3937.996881008148
39,0,113.05978717739598,4039.0036766529083
40,0,113.05978625439184,4142.143717050552
41,0,113.05978541033616,4251.186188220978
42,0,113.05978463312564,4355.044219970703
43,0,113.05978392302275,4453.677881479263
44,0,113.05978327753218,4552.440320968628
45,0,113.0597826904212,4654.492228746414
46,0,113.05978215798837,4757.589823722839
47,0,113.05978167830946,4858.929681777954
48,0,113.05978124928546,4958.224967718124
49,0,113.0597808639894,5059.9002776145935
50,0,113.05978051090598,5160.662890434265
51,0,113.05978018120635,5263.8916873931885
52,0,113.05977986967179,5362.720344543457
53,0,113.0597795764484,5461.266519069672
54,0,113.05977930371604,5556.040046453476
55,0,113.0597790543204,5656.6873342990875
56,0,113.0597788290407,5758.751716375351
57,0,113.05977862570909,5857.148952960968
58,0,113.05977844079601,5957.638939619064
59,0,113.05977827024473,6056.265993356705
60,0,113.05977810915229,6153.673856973648
61,0,113.05977795392512,6256.750151395798
62,0,113.05977780326454,6360.015399456024
63,0,113.05977765808099,6453.9491930007935
64,0,113.05977752006802,6552.155711650848
65,0,113.05977739039596,6653.666285276413
66,0,113.05977726821908,6753.797443389893
67,0,113.05977715017411,6857.956676721573
68,0,113.0597770331724,6958.788005590439
69,0,113.05977691504026,7058.548944234848
70,0,113.05977679641599,7155.062679767609
71,0,113.05977667315099,7251.779150485992
