i_epoch,i_batch,loss,time
0,0,112.2778052956505,93.13210821151733
1,0,112.27648876440071,187.84623908996582
2,0,112.2757879946398,284.0464997291565
3,0,112.27524814031491,377.53312635421753
4,0,112.2749909876582,474.47649574279785
5,0,112.27487970038793,573.1606571674347
6,0,112.27473893991403,664.4299008846283
7,0,112.27462827971019,759.4393625259399
8,0,112.27453731580276,851.9306869506836
9,0,112.27445167732148,947.9579939842224
10,0,112.27436526295361,1045.5712554454803
11,0,112.2742753563141,1142.7702610492706
12,0,112.27418561158333,1239.4916515350342
13,0,112.27410205337704,1342.9265525341034
14,0,112.27403494162107,1439.6339247226715
15,0,112.27399254764583,1533.2961015701294
16,0,112.27397137610444,1623.4093301296234
17,0,112.27396060053708,1715.189748764038
18,0,112.27394792433053,1809.3880314826965
19,0,112.27392849685555,1908.182225227356
20,0,112.27390371068196,2003.6799204349518
21,0,112.27387942764071,2103.7776396274567
22,0,112.27386062748015,2199.0931339263916
23,0,112.27384723321481,2297.82914185524
24,0,112.27383678113705,2394.2691991329193
25,0,112.27382677556166,2490.613779783249
26,0,112.27381663805679,2588.2471210956573
27,0,112.27380722422564,2691.915451526642
28,0,112.27379911585537,2796.75142621994
29,0,112.2737920080105,2895.8661618232727
30,0,112.27378520896117,2994.9772288799286
31,0,112.27377835293477,3091.384906053543
32,0,112.27377176624788,3187.43851518631
33,0,112.27376635691188,3290.6080224514008
34,0,112.27376270765501,3389.7153878211975
35,0,112.2737601921133,3487.121757507324
36,0,112.27375758939814,3581.6753952503204
37,0,112.27375438209297,3680.9298198223114
38,0,112.27375089471909,3779.1519010066986
39,0,112.2737475581911,3878.2681517601013
40,0,112.27374464008868,3975.3652358055115
41,0,112.27374210095417,4068.2643764019012
42,0,112.2737399261723,4166.544264316559
43,0,112.27373810085132,4259.675809621811
44,0,112.27373642243323,4351.401943683624
45,0,112.27373481391953,4444.106569290161
46,0,112.27373337111567,4535.561922073364
47,0,112.27373218660956,4634.453689336777
48,0,112.27373120741868,4734.590774774551
49,0,112.2737303253922,4832.902867555618
50,0,112.27372951789117,4932.273916482925
51,0,112.27372875098041,5027.945849657059
52,0,112.27372798176881,5120.094060897827
53,0,112.27372728069889,5212.637264251709
54,0,112.27372668063823,5304.403725385666
55,0,112.27372612663835,5399.61431312561
56,0,112.27372561099702,5496.4261293411255
57,0,112.2737251535616,5591.813770055771
58,0,112.2737247514535,5690.291613817215
59,0,112.27372439782924,5784.439806222916
60,0,112.27372407738766,5875.607930183411
61,0,112.27372375973358,5966.105609416962
62,0,112.27372343412874,6059.312997817993
63,0,112.27372312181427,6145.894942998886
64,0,112.27372284430643,6239.403818368912
65,0,112.27372260596898,6335.775882959366
66,0,112.27372240189756,6433.047852039337
67,0,112.27372223339881,6525.320879936218
68,0,112.2737220991623,6621.057824373245
69,0,112.2737219927613,6712.133394479752
70,0,112.2737219012376,6802.878475427628
71,0,112.27372181361736,6895.469065904617
72,0,112.27372172542127,6987.663570404053
73,0,112.27372163082745,7078.090123414993
74,0,112.27372153416059,7170.8575694561005
75,0,112.27372145245528,7263.523055076599
76,0,112.27372139280111,7354.245043039322
77,0,112.2737213481721,7444.571866035461
78,0,112.27372130923469,7541.131340265274
79,0,112.27372126989603,7636.803416967392
80,0,112.27372122733081,7731.657647848129
81,0,112.27372118186223,7824.295308828354
82,0,112.27372113752942,7914.093293905258
83,0,112.27372110099238,8007.452026128769
84,0,112.27372107326276,8099.425000190735
85,0,112.27372105071495,8190.441197395325
86,0,112.27372103077515,8284.397049665451
87,0,112.273721012597,8380.414221048355
88,0,112.27372099481246,8479.161398887634
89,0,112.27372097730864,8570.893721103668
90,0,112.27372096233417,8661.478635787964
91,0,112.2737209508996,8749.383778333664
92,0,112.27372094130638,8842.476668834686
93,0,112.27372093246964,8931.121884584427
94,0,112.2737209245917,9025.826765537262
95,0,112.27372091761035,9118.548953771591
96,0,112.27372091142334,9211.054764509201
97,0,112.27372090573252,9300.142223834991
98,0,112.27372090001421,9391.867896556854
99,0,112.27372089456311,9484.228100538254
100,0,112.27372088948546,9577.11308336258
101,0,112.27372088507494,9667.373550415039
102,0,112.27372088187207,9757.86292886734
103,0,112.27372087978375,9850.754738807678
104,0,112.27372087822843,9939.402172803879
105,0,112.27372087657429,10031.726783752441
106,0,112.27372087473437,10122.667490005493
107,0,112.27372087272906,10218.18972659111
108,0,112.27372087075787,10311.807025909424
109,0,112.27372086893453,10403.527580738068
110,0,112.27372086735846,10493.34047460556
111,0,112.27372086596277,10586.706912755966
112,0,112.27372086472299,10679.134434700012
113,0,112.27372086360211,10773.161546468735
114,0,112.27372086260924,10868.487455129623
115,0,112.27372086167811,10961.064546108246
116,0,112.27372086076143,11051.705605506897
117,0,112.27372085986114,11140.790050029755
118,0,112.27372085903767,11228.738514184952
119,0,112.2737208583664,11317.709141016006
120,0,112.27372085783858,11406.397632837296
121,0,112.2737208574394,11493.22560453415
122,0,112.27372085707701,11581.781174898148
123,0,112.2737208566866,11680.250370979309
124,0,112.27372085627508,11776.101775407791
125,0,112.2737208558753,11871.776098012924
126,0,112.27372085550904,11966.187351226807
127,0,112.27372085517936,12056.536905288696
128,0,112.27372085489667,12142.203179597855
129,0,112.27372085466975,12232.275420188904
130,0,112.2737208544109,12325.48142695427
131,0,112.27372085420592,12422.920891284943
132,0,112.273720854063,12512.42213845253
133,0,112.27372085384337,12605.835764884949
134,0,112.27372085368975,12697.509789943695
135,0,112.27372085354693,12789.336884975433
136,0,112.2737208533924,12879.535190343857
137,0,112.27372085326071,12968.8407933712
138,0,112.2737208531894,13058.005694150925
139,0,112.27372085307475,13150.213886260986
140,0,112.27372085298748,13243.310615301132
141,0,112.27372085298082,13329.06327176094
142,0,112.27372085283372,13417.287143230438
143,0,112.2737208527654,13508.472007513046
144,0,112.27372085271062,13599.135952472687
145,0,112.2737208526403,13691.17886853218
146,0,112.27372085257821,13781.757448911667
147,0,112.27372085252613,13874.45347905159
148,0,112.27372085250511,13962.381808042526
149,0,112.27372085245516,14052.158894777298
150,0,112.2737208524281,14149.048594236374
151,0,112.27372085240991,14238.797644376755
152,0,112.27372085240101,14333.00377368927
153,0,112.27372085237137,14428.607021808624
154,0,112.27372085234735,14525.144662857056
155,0,112.27372085229679,14618.649895429611
156,0,112.27372085225156,14711.6519510746
157,0,112.27372085221482,14802.672943353653
158,0,112.2737208521951,14898.772557497025
159,0,112.2737208521889,14989.614578008652
160,0,112.27372085218562,15076.54592204094
161,0,112.27372085216658,15168.023749828339
162,0,112.2737208521267,15258.615430355072
163,0,112.27372085206602,15349.963757038116
164,0,112.27372085200699,15441.578041315079
165,0,112.27372085197251,15535.823805093765
166,0,112.2737208519581,15623.433514595032
167,0,112.27372085194112,15717.109642744064
168,0,112.27372085192307,15805.558861017227
169,0,112.27372085190994,15897.143544197083
170,0,112.27372085185793,15989.682913303375
171,0,112.27372085182519,16084.933092355728
172,0,112.27372085181035,16173.471880197525
173,0,112.27372085177849,16266.02073597908
174,0,112.27372085172624,16356.502228736877
175,0,112.27372085169286,16448.073382616043
176,0,112.2737208516404,16536.334602832794
177,0,112.27372085158966,16627.37439751625
178,0,112.27372085157097,16723.543972730637
179,0,112.27372085151035,16817.448335170746
180,0,112.27372085146719,16908.02282142639
181,0,112.273720851428,16995.694877147675
182,0,112.27372085138914,17083.045963287354
183,0,112.27372085133246,17175.52543592453
184,0,112.27372085129127,17267.343215942383
185,0,112.2737208512432,17361.547239780426
186,0,112.27372085120336,17455.02375602722
187,0,112.27372085117425,17547.129032611847
188,0,112.27372085112735,17637.798906564713
189,0,112.27372085109255,17726.19678711891
190,0,112.27372085107476,17820.76198720932
191,0,112.27372085102742,17914.07311964035
192,0,112.27372085099448,18009.815522432327
193,0,112.27372085096971,18101.82096195221
194,0,112.27372085096283,18194.16834783554
195,0,112.27372085093013,18286.781501293182
196,0,112.27372085091189,18378.77898168564
197,0,112.27372085090308,18468.634104967117
198,0,112.27372085090533,18557.66990184784
199,0,112.27372085088297,18652.063650608063
